b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
725	283	146	56	1049	636	207	125	1093	1
1316	1132	261	233	1500	1330	300	275	1398	2
584	943	124	190	1051	1306	217	268	2064	143
242	90	43	20	959	717	178	138	2118	160
405	646	78	131	683	926	132	186	781	161
0	308	0	65	208	510	40	104	782	161
848	87	168	18	1303	631	260	132	2100	163
803	865	160	180	1250	1308	252	271	2131	163
969	651	193	141	1318	992	263	210	2122	177
140	1116	29	234	398	1370	81	286	2123	177
1268	596	241	121	1551	857	300	178	666	190
0	857	0	178	324	1173	68	246	667	190
1089	1194	203	250	1357	1457	253	300	673	190
1326	512	255	106	1536	708	295	145	672	191
689	28	133	6	1032	343	199	70	748	191
159	142	32	26	401	390	80	77	680	193
191	544	35	106	525	1150	104	231	708	194
677	0	133	0	919	238	178	45	702	195
769	0	144	0	1046	277	201	57	1598	209
849	778	158	164	1480	1357	286	281	1610	329
1344	1151	272	234	1485	1307	300	265	1592	339
0	1307	0	265	159	1472	33	300	1593	339
508	951	103	196	698	1156	142	239	1592	340
713	18	137	4	938	253	182	52	1593	340
849	283	158	59	1480	918	286	189	1610	340
1121	785	214	160	1371	1058	267	218	1109	375
541	415	108	87	881	754	174	153	1923	375
49	386	11	80	251	597	54	125	2076	462
79	0	17	0	348	257	67	48	2338	466
1319	517	256	104	1539	735	300	148	1965	562
0	735	0	148	788	1491	159	300	1966	562
437	977	86	203	1150	1449	221	295	2025	609
265	550	53	112	478	758	98	156	2026	609
888	0	169	0	1529	587	300	119	1925	640
0	587	0	119	881	1428	178	288	1926	640
1363	525	267	110	1527	703	300	147	1924	641
398	104	71	26	752	467	142	99	1925	641
679	919	129	185	1153	1433	220	288	1925	688
164	501	34	102	793	1151	160	234	1926	692
785	732	159	155	1258	1269	258	268	1086	777
1026	255	198	55	1305	564	249	112	2137	847
570	421	112	88	1458	1225	291	252	2237	863
382	305	76	53	739	774	146	150	577	1192
620	609	113	125	1021	947	187	188	2135	1230
570	924	112	178	1427	1536	283	299	2237	1272
1130	1127	221	236	1415	1427	280	300	2237	1273
0	80	0	18	447	536	95	115	2238	1274
686	0	144	0	1395	678	298	150	1938	1394
402	977	85	196	880	1454	186	300	1938	1407
880	0	186	0	1395	493	298	107	1938	1408
735	594	141	127	1269	1063	249	226	1924	1410
934	715	197	149	1395	1143	298	241	1938	1416
402	474	85	101	1395	1378	298	299	1938	1418
1152	0	216	0	1549	394	300	84	1937	1425
0	394	0	84	387	678	82	147	1938	1425
735	141	141	28	1312	774	257	159	1924	1460
552	1155	107	237	861	1452	174	300	2149	1549
841	321	168	66	1531	954	300	196	812	1569
10	960	2	197	385	1329	79	273	813	1569
566	654	113	134	1332	1329	269	273	1967	1569
0	43	0	7	691	723	140	144	1966	1572
250	1198	48	251	476	1429	95	300	2377	1579
890	848	173	175	1150	1198	221	238	2025	1599
841	601	142	126	1226	983	219	204	2384	1632
238	634	47	125	513	873	102	175	2369	1647
124	901	25	178	472	1324	95	267	2123	1650
84	0	15	0	313	234	58	44	1598	1716
1035	215	196	44	1372	603	263	121	1597	1718
32	0	5	0	287	576	53	115	1598	1718
1011	976	200	190	1281	1272	257	250	2229	1763
188	35	39	7	1451	853	281	164	2233	1763
485	300	95	62	727	531	144	110	937	1775
643	254	127	50	1087	1124	220	230	2328	1890
124	693	25	148	398	1020	81	216	2123	1916
503	1056	94	207	959	1484	178	285	2118	1941
198	56	41	11	1401	1015	272	196	2233	1984
644	1366	138	267	795	1511	172	300	2234	1984
795	0	172	0	968	173	214	42	2234	1985
201	192	42	36	1536	1489	300	287	2233	1995
1072	1337	234	255	1297	1552	280	300	2234	1995
1072	79	234	13	1403	414	300	80	2234	1996
0	414	0	80	150	558	29	109	2235	1996
656	1169	126	249	912	1430	176	300	2235	2013
912	0	176	0	1580	616	300	118	2235	2014
0	616	0	118	873	1492	181	300	2236	2014
873	0	181	0	1406	364	290	75	2236	2015
